file,title,source,license,author,credit_required
sfx_select_all.wav,sfx select all,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_slam.wav,sfx slam,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_spawn.wav,sfx spawn,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_summon.wav,sfx summon,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_swap.wav,sfx swap,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_tele.wav,sfx tele,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_tele_long.wav,sfx tele long,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_tele_mid.wav,sfx tele mid,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_tele_short.wav,sfx tele short,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_trigger.wav,sfx trigger,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ui.wav,sfx ui,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ui_back.wav,sfx ui back,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ui_close.wav,sfx ui close,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ui_drag.wav,sfx ui drag,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ui_drop.wav,sfx ui drop,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ui_equip.wav,sfx ui equip,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ui_open.wav,sfx ui open,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ward_break.wav,sfx ward break,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_ward_up.wav,sfx ward up,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sfx_win.wav,sfx win,tools/gen_audio.gd,original,Bar Moshe (generated in code),no
sting_boss.wav,sting boss,tools/gen_music.gd,original,Bar Moshe (generated in code),no
sting_clear.wav,sting clear,tools/gen_music.gd,original,Bar Moshe (generated in code),no
sting_defeat.wav,sting defeat,tools/gen_music.gd,original,Bar Moshe (generated in code),no
sting_reward.wav,sting reward,tools/gen_music.gd,original,Bar Moshe (generated in code),no
sting_victory.wav,sting victory,tools/gen_music.gd,original,Bar Moshe (generated in code),no
